record_type,id,experiment_id,experiment_name,dataset,optimizer,learning_rate,batch_size,total_epochs,status,layer_type,units,kernel_size,activation,input_shape,output_shape,params,epoch_num,train_loss,train_acc,val_loss,val_acc,duration_sec,layer_id,sample_weights_row1,sample_weights_row2,gradients_row1,gradients_row2,mean,std
layer,l-013,exp-001,,,,,,,,,Conv2D,256,"3;3",ReLU,"8;8;256","8;8;256",590080,,,,,,,,,,,,
layer,l-014,exp-001,,,,,,,,,BatchNorm,256,,,"8;8;256","8;8;256",1024,,,,,,,,,,,,
layer,l-015,exp-001,,,,,,,,,MaxPool2D,,"2;2",,"8;8;256","4;4;256",0,,,,,,,,,,,,
layer,l-016,exp-001,,,,,,,,,Conv2D,512,"3;3",ReLU,"4;4;256","4;4;512",1180160,,,,,,,,,,,,
layer,l-017,exp-001,,,,,,,,,BatchNorm,512,,,"4;4;512","4;4;512",2048,,,,,,,,,,,,
layer,l-018,exp-001,,,,,,,,,Conv2D,512,"3;3",ReLU,"4;4;512","4;4;512",2359808,,,,,,,,,,,,
layer,l-019,exp-001,,,,,,,,,BatchNorm,512,,,"4;4;512","4;4;512",2048,,,,,,,,,,,,
layer,l-020,exp-001,,,,,,,,,MaxPool2D,,"2;2",,"4;4;512","2;2;512",0,,,,,,,,,,,,
layer,l-021,exp-001,,,,,,,,,Flatten,,,,,"2;2;512","2048",0,,,,,,,,,,,,
layer,l-022,exp-001,,,,,,,,,Dense,512,,ReLU,"2048","512",1049088,,,,,,,,,,,,
layer,l-023,exp-001,,,,,,,,,Dropout,,,,,"512","512",0,,,,,,,,,,,,
layer,l-024,exp-001,,,,,,,,,Dense,10,,Softmax,"512","10",5130,,,,,,,,,,,,
layer,l-025,exp-002,,,,,,,,,Conv2D,64,"3;3",ReLU,"224;224;3","224;224;64",1792,,,,,,,,,,,,
layer,l-026,exp-002,,,,,,,,,Conv2D,64,"3;3",ReLU,"224;224;64","224;224;64",36928,,,,,,,,,,,,
layer,l-027,exp-002,,,,,,,,,MaxPool2D,,"2;2",,"224;224;64","112;112;64",0,,,,,,,,,,,,
layer,l-028,exp-002,,,,,,,,,Conv2D,128,"3;3",ReLU,"112;112;64","112;112;128",73856,,,,,,,,,,,,
layer,l-029,exp-002,,,,,,,,,Conv2D,128,"3;3",ReLU,"112;112;128","112;112;128",147584,,,,,,,,,,,,
layer,l-030,exp-002,,,,,,,,,MaxPool2D,,"2;2",,"112;112;128","56;56;128",0,,,,,,,,,,,,
layer,l-031,exp-002,,,,,,,,,Conv2D,256,"3;3",ReLU,"56;56;128","56;56;256",295168,,,,,,,,,,,,
layer,l-032,exp-002,,,,,,,,,Conv2D,256,"3;3",ReLU,"56;56;256","56;56;256",590080,,,,,,,,,,,,
layer,l-033,exp-002,,,,,,,,,Conv2D,256,"3;3",ReLU,"56;56;256","56;56;256",590080,,,,,,,,,,,,
layer,l-034,exp-002,,,,,,,,,MaxPool2D,,"2;2",,"56;56;256","28;28;256",0,,,,,,,,,,,,
layer,l-035,exp-002,,,,,,,,,Conv2D,512,"3;3",ReLU,"28;28;256","28;28;512",1180160,,,,,,,,,,,,
layer,l-036,exp-002,,,,,,,,,Conv2D,512,"3;3",ReLU,"28;28;512","28;28;512",2359808,,,,,,,,,,,,
layer,l-037,exp-002,,,,,,,,,Conv2D,512,"3;3",ReLU,"28;28;512","28;28;512",2359808,,,,,,,,,,,,
layer,l-038,exp-002,,,,,,,,,MaxPool2D,,"2;2",,"28;28;512","14;14;512",0,,,,,,,,,,,,
layer,l-039,exp-002,,,,,,,,,Conv2D,512,"3;3",ReLU,"14;14;512","14;14;512",2359808,,,,,,,,,,,,
layer,l-040,exp-002,,,,,,,,,Conv2D,512,"3;3",ReLU,"14;14;512","14;14;512",2359808,,,,,,,,,,,,
layer,l-041,exp-002,,,,,,,,,Conv2D,512,"3;3",ReLU,"14;14;512","14;14;512",2359808,,,,,,,,,,,,
layer,l-042,exp-002,,,,,,,,,MaxPool2D,,"2;2",,"14;14;512","7;7;512",0,,,,,,,,,,,,
layer,l-043,exp-002,,,,,,,,,Flatten,,,,,"7;7;512","25088",0,,,,,,,,,,,,
layer,l-044,exp-002,,,,,,,,,Dense,4096,,ReLU,"25088","4096",102764544,,,,,,,,,,,,
layer,l-045,exp-002,,,,,,,,,Dropout,,,,,"4096","4096",0,,,,,,,,,,,,
layer,l-046,exp-002,,,,,,,,,Dense,4096,,ReLU,"4096","4096",16781312,,,,,,,,,,,,
layer,l-047,exp-002,,,,,,,,,Dropout,,,,,"4096","4096",0,,,,,,,,,,,,
layer,l-048,exp-002,,,,,,,,,Dense,1000,,Softmax,"4096","1000",4097000,,,,,,,,,,,,
layer,l-049,exp-003,,,,,,,,,Conv2D,32,"3;3",ReLU,"32;32;3","32;32;32",896,,,,,,,,,,,,
layer,l-050,exp-003,,,,,,,,,BatchNorm,32,,,"32;32;32","32;32;32",128,,,,,,,,,,,,
layer,l-051,exp-003,,,,,,,,,Conv2D,32,"1;1",ReLU,"32;32;32","32;32;32",1056,,,,,,,,,,,,
layer,l-052,exp-003,,,,,,,,,Conv2D,32,"3;3",ReLU,"32;32;32","32;32;32",320,,,,,,,,,,,,
layer,l-053,exp-003,,,,,,,,,Conv2D,16,"1;1",,"32;32;32","32;32;16",528,,,,,,,,,,,,
layer,l-054,exp-003,,,,,,,,,Conv2D,96,"1;1",ReLU,"32;32;16","32;32;96",1632,,,,,,,,,,,,
layer,l-055,exp-003,,,,,,,,,Conv2D,96,"3;3",ReLU,"32;32;96","32;32;96",960,,,,,,,,,,,,
layer,l-056,exp-003,,,,,,,,,Conv2D,24,"1;1",,"32;32;96","32;32;24",2328,,,,,,,,,,,,
layer,l-057,exp-003,,,,,,,,,Conv2D,1280,"1;1",ReLU,"4;4;320","4;4;1280",411520,,,,,,,,,,,,
layer,l-058,exp-003,,,,,,,,,MaxPool2D,,"4;4",,"4;4;1280","1;1;1280",0,,,,,,,,,,,,
layer,l-059,exp-003,,,,,,,,,Flatten,,,,,"1;1;1280","1280",0,,,,,,,,,,,,
layer,l-060,exp-003,,,,,,,,,Dense,100,,Softmax,"1280","100",128100,,,,,,,,,,,,
layer,l-061,exp-004,,,,,,,,,Dense,768,,GELU,"512;768","512;768",590592,,,,,,,,,,,,
layer,l-062,exp-004,,,,,,,,,BatchNorm,768,,,"512;768","512;768",1536,,,,,,,,,,,,
layer,l-063,exp-004,,,,,,,,,Dense,3072,,GELU,"512;768","512;3072",2362368,,,,,,,,,,,,
layer,l-064,exp-004,,,,,,,,,Dense,768,,,"512;3072","512;768",2360064,,,,,,,,,,,,
layer,l-065,exp-004,,,,,,,,,BatchNorm,768,,,"512;768","512;768",1536,,,,,,,,,,,,
layer,l-066,exp-004,,,,,,,,,Dense,2,,Softmax,"512;768","512;2",1538,,,,,,,,,,,,
layer,l-067,exp-005,,,,,,,,,Dense,768,,GELU,"1024;768","1024;768",590592,,,,,,,,,,,,
layer,l-068,exp-005,,,,,,,,,BatchNorm,768,,,"1024;768","1024;768",1536,,,,,,,,,,,,
layer,l-069,exp-005,,,,,,,,,Dense,3072,,GELU,"1024;768","1024;3072",2362368,,,,,,,,,,,,
layer,l-070,exp-005,,,,,,,,,Dense,768,,,"1024;3072","1024;768",2360064,,,,,,,,,,,,
layer,l-071,exp-005,,,,,,,,,BatchNorm,768,,,"1024;768","1024;768",1536,,,,,,,,,,,,
layer,l-072,exp-005,,,,,,,,,Dense,50257,,Softmax,"1024;768","1024;50257",38597376,,,,,,,,,,,,
layer,l-073,exp-006,,,,,,,,,Conv2D,32,"3;3",ReLU,"224;224;3","112;112;32",896,,,,,,,,,,,,
layer,l-074,exp-006,,,,,,,,,BatchNorm,32,,,"112;112;32","112;112;32",128,,,,,,,,,,,,
layer,l-075,exp-006,,,,,,,,,Conv2D,16,"1;1",ReLU,"112;112;32","112;112;16",528,,,,,,,,,,,,
layer,l-076,exp-006,,,,,,,,,Conv2D,1280,"1;1",ReLU,"7;7;320","7;7;1280",411520,,,,,,,,,,,,
layer,l-077,exp-006,,,,,,,,,MaxPool2D,,"7;7",,"7;7;1280","1;1;1280",0,,,,,,,,,,,,
layer,l-078,exp-006,,,,,,,,,Flatten,,,,,"1;1;1280","1280",0,,,,,,,,,,,,
layer,l-079,exp-006,,,,,,,,,Dense,102,,Softmax,"1280","102",130662,,,,,,,,,,,,
epoch,e-001,exp-001,,,,0.001,,,,,,,,,,,,1,2.3026,0.1023,2.2891,0.1156,45.2,,,,,,
epoch,e-002,exp-001,,,,0.001,,,,,,,,,,,,2,1.8734,0.2847,1.7892,0.3012,44.8,,,,,,
epoch,e-003,exp-001,,,,0.001,,,,,,,,,,,,3,1.4521,0.4123,1.4102,0.4389,45.1,,,,,,
epoch,e-004,exp-001,,,,0.001,,,,,,,,,,,,4,1.1893,0.5234,1.1567,0.5512,44.9,,,,,,
epoch,e-005,exp-001,,,,0.001,,,,,,,,,,,,5,0.9823,0.6012,0.9612,0.6234,45.3,,,,,,
epoch,e-006,exp-001,,,,0.001,,,,,,,,,,,,6,0.8234,0.6723,0.8123,0.6891,45,,,,,,
epoch,e-007,exp-001,,,,0.001,,,,,,,,,,,,7,0.7012,0.7234,0.6923,0.7412,44.7,,,,,,
epoch,e-008,exp-001,,,,0.001,,,,,,,,,,,,8,0.6123,0.7612,0.6012,0.7789,45.2,,,,,,
epoch,e-009,exp-001,,,,0.001,,,,,,,,,,,,9,0.5423,0.7923,0.5312,0.8034,44.8,,,,,,
epoch,e-010,exp-001,,,,0.001,,,,,,,,,,,,10,0.4823,0.8123,0.4712,0.8234,45.1,,,,,,
epoch,e-011,exp-001,,,,0.0008,,,,,,,,,,,,11,0.4312,0.8312,0.4234,0.8389,44.9,,,,,,
epoch,e-012,exp-001,,,,0.0008,,,,,,,,,,,,12,0.3912,0.8456,0.3834,0.8512,45,,,,,,
epoch,e-013,exp-001,,,,0.0008,,,,,,,,,,,,13,0.3567,0.8578,0.3512,0.8623,45.2,,,,,,
epoch,e-014,exp-001,,,,0.0008,,,,,,,,,,,,14,0.3256,0.8689,0.3201,0.8734,44.8,,,,,,
epoch,e-015,exp-001,,,,0.0008,,,,,,,,,,,,15,0.2989,0.8789,0.2923,0.8823,45.1,,,,,,
epoch,e-016,exp-001,,,,0.0008,,,,,,,,,,,,16,0.2756,0.8867,0.2712,0.8901,44.9,,,,,,
epoch,e-017,exp-001,,,,0.0008,,,,,,,,,,,,17,0.2556,0.8934,0.2512,0.8967,45.3,,,,,,
epoch,e-018,exp-001,,,,0.0008,,,,,,,,,,,,18,0.2378,0.8989,0.2345,0.9012,45,,,,,,
epoch,e-019,exp-001,,,,0.0008,,,,,,,,,,,,19,0.2212,0.9034,0.2189,0.9056,44.7,,,,,,
epoch,e-020,exp-001,,,,0.0008,,,,,,,,,,,,20,0.2067,0.9078,0.2045,0.9089,45.2,,,,,,
epoch,e-021,exp-001,,,,0.0005,,,,,,,,,,,,21,0.1934,0.9112,0.1912,0.9123,44.8,,,,,,
epoch,e-022,exp-001,,,,0.0005,,,,,,,,,,,,22,0.1812,0.9145,0.1789,0.9156,45.1,,,,,,
epoch,e-023,exp-001,,,,0.0005,,,,,,,,,,,,23,0.1701,0.9178,0.1678,0.9189,44.9,,,,,,
epoch,e-024,exp-001,,,,0.0005,,,,,,,,,,,,24,0.1598,0.9206,0.1578,0.9217,45,,,,,,
epoch,e-025,exp-001,,,,0.0005,,,,,,,,,,,,25,0.1502,0.9234,0.1484,0.9245,45.2,,,,,,
epoch,e-026,exp-001,,,,0.0005,,,,,,,,,,,,26,0.1412,0.9259,0.1396,0.9268,44.8,,,,,,
epoch,e-027,exp-001,,,,0.0005,,,,,,,,,,,,27,0.1328,0.9284,0.1314,0.9293,45.1,,,,,,
epoch,e-028,exp-001,,,,0.0005,,,,,,,,,,,,28,0.1249,0.9306,0.1237,0.9315,44.9,,,,,,
epoch,e-029,exp-001,,,,0.0005,,,,,,,,,,,,29,0.1175,0.9328,0.1164,0.9337,45.3,,,,,,
epoch,e-030,exp-001,,,,0.0005,,,,,,,,,,,,30,0.1106,0.9348,0.1096,0.9356,45,,,,,,
epoch,e-031,exp-001,,,,0.0002,,,,,,,,,,,,31,0.1041,0.9367,0.1032,0.9375,44.7,,,,,,
epoch,e-032,exp-001,,,,0.0002,,,,,,,,,,,,32,0.098,0.9385,0.0972,0.9392,45.2,,,,,,
epoch,e-033,exp-001,,,,0.0002,,,,,,,,,,,,33,0.0923,0.9402,0.0916,0.9408,44.8,,,,,,
epoch,e-034,exp-001,,,,0.0002,,,,,,,,,,,,34,0.0869,0.9418,0.0863,0.9423,45.1,,,,,,
epoch,e-035,exp-001,,,,0.0002,,,,,,,,,,,,35,0.0819,0.9433,0.0814,0.9437,44.9,,,,,,
epoch,e-036,exp-001,,,,0.0002,,,,,,,,,,,,36,0.0772,0.9446,0.0768,0.945,45,,,,,,
epoch,e-037,exp-001,,,,0.0002,,,,,,,,,,,,37,0.0728,0.9459,0.0724,0.9462,45.2,,,,,,
epoch,e-038,exp-001,,,,0.0002,,,,,,,,,,,,38,0.0686,0.9471,0.0683,0.9474,44.8,,,,,,
epoch,e-039,exp-001,,,,0.0002,,,,,,,,,,,,39,0.0647,0.9483,0.0644,0.9485,45.1,,,,,,
epoch,e-040,exp-001,,,,0.0002,,,,,,,,,,,,40,0.061,0.9493,0.0608,0.9495,44.9,,,,,,
epoch,e-041,exp-002,,,,0.01,,,,,,,,,,,,1,6.9078,0.0012,6.8923,0.0018,3245.6,,,,,,
epoch,e-042,exp-002,,,,0.01,,,,,,,,,,,,2,5.8234,0.0234,5.7891,0.0278,3241.2,,,,,,
epoch,e-043,exp-002,,,,0.01,,,,,,,,,,,,3,4.9123,0.0567,4.8789,0.0612,3248.9,,,,,,
epoch,e-044,exp-002,,,,0.01,,,,,,,,,,,,4,4.2345,0.1023,4.1978,0.1089,3243.4,,,,,,
epoch,e-045,exp-002,,,,0.01,,,,,,,,,,,,5,3.7123,0.1523,3.6789,0.1598,3246.7,,,,,,
epoch,e-046,exp-002,,,,0.01,,,,,,,,,,,,6,3.2891,0.2012,3.2567,0.2089,3244.1,,,,,,
epoch,e-047,exp-002,,,,0.01,,,,,,,,,,,,7,2.9456,0.2489,2.9145,0.2567,3247.8,,,,,,
epoch,e-048,exp-002,,,,0.01,,,,,,,,,,,,8,2.6723,0.2934,2.6423,0.3012,3242.5,,,,,,
epoch,e-049,exp-002,,,,0.01,,,,,,,,,,,,9,2.4512,0.3356,2.4234,0.3423,3245.9,,,,,,
epoch,e-050,exp-002,,,,0.01,,,,,,,,,,,,10,2.2678,0.3745,2.2412,0.3812,3243.7,,,,,,
epoch,e-051,exp-002,,,,0.005,,,,,,,,,,,,11,2.1123,0.4112,2.0867,0.4178,3246.2,,,,,,
epoch,e-052,exp-002,,,,0.005,,,,,,,,,,,,12,1.9789,0.4456,1.9545,0.4523,3244.8,,,,,,
epoch,e-053,exp-002,,,,0.005,,,,,,,,,,,,13,1.8623,0.4778,1.8389,0.4845,3247.1,,,,,,
epoch,e-054,exp-002,,,,0.005,,,,,,,,,,,,14,1.7589,0.5078,1.7367,0.5145,3243.6,,,,,,
epoch,e-055,exp-002,,,,0.005,,,,,,,,,,,,15,1.6678,0.5356,1.6467,0.5423,3245.4,,,,,,
epoch,e-056,exp-002,,,,0.005,,,,,,,,,,,,16,1.5867,0.5612,1.5667,0.5678,3244.2,,,,,,
epoch,e-057,exp-002,,,,0.005,,,,,,,,,,,,17,1.5145,0.5856,1.4956,0.5923,3246.9,,,,,,
epoch,e-058,exp-002,,,,0.005,,,,,,,,,,,,18,1.4489,0.6078,1.4312,0.6145,3243.1,,,,,,
epoch,e-059,exp-002,,,,0.005,,,,,,,,,,,,19,1.3889,0.6289,1.3723,0.6356,3245.7,,,,,,
epoch,e-060,exp-002,,,,0.005,,,,,,,,,,,,20,1.3345,0.6489,1.3189,0.6556,3244.5,,,,,,
epoch,e-061,exp-003,,,,0.0003,,,,,,,,,,,,1,4.6052,0.0102,4.5891,0.0123,89.4,,,,,,
epoch,e-062,exp-003,,,,0.0003,,,,,,,,,,,,2,4.1234,0.0412,4.0978,0.0478,88.9,,,,,,
epoch,e-063,exp-003,,,,0.0003,,,,,,,,,,,,3,3.7891,0.0834,3.7623,0.0912,89.2,,,,,,
epoch,e-064,exp-003,,,,0.0003,,,,,,,,,,,,4,3.5123,0.1256,3.4867,0.1345,88.7,,,,,,
epoch,e-065,exp-003,,,,0.0003,,,,,,,,,,,,5,3.2789,0.1678,3.2545,0.1778,89.1,,,,,,
epoch,e-066,exp-003,,,,0.0003,,,,,,,,,,,,6,3.0823,0.2089,3.0589,0.2189,88.8,,,,,,
epoch,e-067,exp-003,,,,0.0003,,,,,,,,,,,,7,2.9123,0.2478,2.8901,0.2578,89.3,,,,,,
epoch,e-068,exp-003,,,,0.0003,,,,,,,,,,,,8,2.7645,0.2845,2.7434,0.2945,88.6,,,,,,
epoch,e-069,exp-003,,,,0.0003,,,,,,,,,,,,9,2.6345,0.3189,2.6145,0.3289,89,,,,,,
epoch,e-070,exp-003,,,,0.0003,,,,,,,,,,,,10,2.5189,0.3512,2.4998,0.3612,88.9,,,,,,
epoch,e-071,exp-004,,,,0.00003,,,,,,,,,,,,1,1.8923,0.6234,1.8123,0.6512,4523.7,,,,,,
epoch,e-072,exp-004,,,,0.00003,,,,,,,,,,,,2,1.2345,0.7856,1.1987,0.8012,4518.2,,,,,,
epoch,e-073,exp-004,,,,0.00003,,,,,,,,,,,,3,0.8912,0.8523,0.8623,0.8689,4521.9,,,,,,
epoch,e-074,exp-005,,,,0.0001,,,,,,,,,,,,1,10.8234,0.0012,10.7891,0.0015,8923.4,,,,,,
epoch,e-075,exp-005,,,,0.0001,,,,,,,,,,,,2,6.4523,0.0234,6.3978,0.0278,8918.7,,,,,,
epoch,e-076,exp-005,,,,0.0001,,,,,,,,,,,,3,4.8912,0.0567,4.8456,0.0612,8921.2,,,,,,
epoch,e-077,exp-005,,,,0.0001,,,,,,,,,,,,4,4.1234,0.0923,4.0789,0.0989,8919.8,,,,,,
epoch,e-078,exp-005,,,,0.0001,,,,,,,,,,,,5,3.6723,0.1256,3.6289,0.1334,8922.5,,,,,,
epoch,e-079,exp-006,,,,0.0002,,,,,,,,,,,,1,4.6234,0.0089,4.5891,0.0112,156.7,,,,,,
epoch,e-080,exp-006,,,,0.0002,,,,,,,,,,,,2,3.8912,0.0456,3.8523,0.0512,155.2,,,,,,
epoch,e-081,exp-006,,,,0.0002,,,,,,,,,,,,3,3.4523,0.0912,3.4134,0.0989,156.1,,,,,,
epoch,e-082,exp-006,,,,0.0002,,,,,,,,,,,,4,3.1234,0.1334,3.0856,0.1412,155.8,,,,,,
epoch,e-083,exp-006,,,,0.0002,,,,,,,,,,,,5,2.8512,0.1723,2.8145,0.1801,156.4,,,,,,
weight,w-001,,,,,,,,,,,,,,,,,,,,,,,l-001,"0.0234;-0.0156;0.0412","-0.0289;0.0178;-0.0345","-0.0012;0.0008;-0.0003","0.0005;-0.0007;0.0002",0.0006,0.0287
weight,w-002,,,,,,,,,,,,,,,,,,,,,,,l-003,"0.0189;-0.0223;0.0367","-0.0145;0.0256;-0.0198","-0.0009;0.0006;-0.0002","0.0004;-0.0005;0.0001",0.0041,0.0254
weight,w-003,,,,,,,,,,,,,,,,,,,,,,,l-006,"0.0156;-0.0189;0.0312","-0.0134;0.0201;-0.0167","-0.0007;0.0005;-0.0002","0.0003;-0.0004;0.0001",0.003,0.0223
weight,w-004,,,,,,,,,,,,,,,,,,,,,,,l-008,"0.0134;-0.0167;0.0278","-0.0112;0.0178;-0.0145","-0.0006;0.0004;-0.0001","0.0002;-0.0003;0.0001",0.0028,0.0198
weight,w-005,,,,,,,,,,,,,,,,,,,,,,,l-011,"0.0112;-0.0145;0.0234","-0.0098;0.0156;-0.0123","-0.0005;0.0003;-0.0001","0.0002;-0.0003;0.0001",0.0023,0.0176
weight,w-006,,,,,,,,,,,,,,,,,,,,,,,l-016,"0.0087;-0.0109;0.0178","-0.0076;0.0118;-0.0095","-0.0003;0.0002;-0.0001","0.0001;-0.0002;0",0.0017,0.0138
weight,w-007,,,,,,,,,,,,,,,,,,,,,,,l-018,"0.0076;-0.0095;0.0156","-0.0065;0.0104;-0.0082","-0.0003;0.0002;-0.0001","0.0001;-0.0001;0",0.0015,0.0122
weight,w-008,,,,,,,,,,,,,,,,,,,,,,,l-022,"0.0065;-0.0082;0.0134","-0.0056;0.0091;-0.0071","-0.0002;0.0001;0","0.0001;-0.0001;0",0.0014,0.0108
weight,w-009,,,,,,,,,,,,,,,,,,,,,,,l-025,"0.0312;-0.0234;0.0456","-0.0378;0.0289;-0.0412","-0.0018;0.0012;-0.0005","0.0008;-0.001;0.0003",0.0006,0.0367
weight,w-010,,,,,,,,,,,,,,,,,,,,,,,l-028,"0.0289;-0.0312;0.0423","-0.0234;0.0356;-0.0298","-0.0014;0.0009;-0.0004","0.0006;-0.0008;0.0002",0.0037,0.0334
weight,w-011,,,,,,,,,,,,,,,,,,,,,,,l-035,"0.0201;-0.0245;0.0345","-0.0178;0.0278;-0.0223","-0.0009;0.0006;-0.0002","0.0004;-0.0005;0.0001",0.003,0.0267
weight,w-012,,,,,,,,,,,,,,,,,,,,,,,l-049,"0.0412;-0.0289;0.0534","-0.0378;0.0423;-0.0312","-0.0021;0.0014;-0.0006","0.0009;-0.0012;0.0004",0.0065,0.0412
weight,w-013,,,,,,,,,,,,,,,,,,,,,,,l-061,"0.0278;-0.0312;0.0378","-0.0245;0.0301;-0.0212","-0.0012;0.0008;-0.0003","0.0005;-0.0007;0.0002",0.0031,0.0312
weight,w-014,,,,,,,,,,,,,,,,,,,,,,,l-067,"0.0245;-0.0278;0.0334","-0.0212;0.0267;-0.0189","-0.001;0.0007;-0.0003","0.0004;-0.0006;0.0002",0.0028,0.0278
weight,w-015,,,,,,,,,,,,,,,,,,,,,,,l-073,"0.0212;-0.0245;0.0298","-0.0189;0.0234;-0.0167","-0.0008;0.0006;-0.0002","0.0003;-0.0005;0.0002",0.0026,0.0245
