record_type,id,name,city,conference,wins,losses,ppg,oppg,home_record,away_record,team,team_id,position,age,games,mpg,pts,reb,ast,stl,blk,fg_pct,three_pct,ft_pct,plus_minus,date,opponent,result,score,opp_score,quarter_scores,fg_made,fg_att,three_made,three_att,ft_made,ft_att,rebounds,assists,steals,blocks,turnovers,last_5_ppg,last_10_ppg,monthly_ppg,home_ppg,away_ppg
Player,pt-019,Isaiah Joe,,,,,,,,,okc,,Shooting Guard,24,76,20.5,7.9,2.3,1.4,0.9,0.3,42.8,40.5,93.5,4.5,,,,,,,,,,,,,,,,,,,,,,
Player,pt-020,Kenrich Williams,,,,,,,,,okc,,Power Forward,29,62,16.8,4.1,3.2,1.3,0.5,0.3,47.3,34.2,78.6,2.9,,,,,,,,,,,,,,,,,,,,,,
Player,pt-021,Aaron Wiggins,,,,,,,,,okc,,Small Forward,25,68,15.2,5.8,2.4,1.2,0.6,0.3,51.2,38.8,76.5,3.1,,,,,,,,,,,,,,,,,,,,,,
Player,pt-022,Cason Wallace,,,,,,,,,okc,,Point Guard,20,71,17.4,5.0,2.1,2.3,0.9,0.4,43.2,30.8,72.2,2.4,,,,,,,,,,,,,,,,,,,,,,
Player,pt-023,Jaylin Williams,,,,,,,,,okc,,Power Forward,22,52,11.8,3.8,3.5,0.8,0.3,0.5,48.6,36.4,66.7,1.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-024,Tre Mann,,,,,,,,,okc,,Point Guard,23,38,9.5,4.2,1.2,1.8,0.4,0.2,41.5,32.1,85.0,0.6,,,,,,,,,,,,,,,,,,,,,,
Player,pt-025,Nikola Jokic,,,,,,,,,den,,Center,29,79,34.6,26.4,12.4,9.0,1.4,0.9,58.3,35.9,81.7,11.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-026,Jamal Murray,,,,,,,,,den,,Point Guard,27,59,32.5,21.2,4.1,6.5,1.0,0.4,48.1,42.5,85.5,6.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-027,Michael Porter Jr.,,,,,,,,,den,,Small Forward,25,81,29.6,16.7,7.0,1.5,0.6,0.4,48.4,39.7,80.0,5.4,,,,,,,,,,,,,,,,,,,,,,
Player,pt-028,Aaron Gordon,,,,,,,,,den,,Power Forward,28,73,31.5,13.9,6.5,3.5,0.9,0.7,55.8,32.1,78.3,7.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-029,Kentavious Caldwell-Pope,,,,,,,,,den,,Shooting Guard,30,76,31.2,10.1,2.4,2.4,1.3,0.5,44.6,40.6,89.2,4.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-030,Reggie Jackson,,,,,,,,,den,,Point Guard,33,76,18.5,10.2,1.8,3.5,0.5,0.2,43.8,34.2,87.5,1.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-031,Christian Braun,,,,,,,,,den,,Shooting Guard,23,81,21.4,7.5,3.4,2.3,0.6,0.3,50.2,36.8,76.5,3.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-032,Peyton Watson,,,,,,,,,den,,Small Forward,21,76,16.8,5.3,3.2,1.2,0.6,0.8,48.5,28.6,68.4,2.1,,,,,,,,,,,,,,,,,,,,,,
Player,pt-033,Zeke Nnaji,,,,,,,,,den,,Power Forward,23,49,12.4,4.2,2.8,0.5,0.3,0.4,55.6,41.2,70.0,1.5,,,,,,,,,,,,,,,,,,,,,,
Player,pt-034,DeAndre Jordan,,,,,,,,,den,,Center,35,45,9.8,2.1,3.5,0.4,0.2,0.6,72.0,0.0,42.9,0.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-035,Julian Strawther,,,,,,,,,den,,Shooting Guard,22,38,8.5,2.8,1.2,0.6,0.2,0.1,42.4,35.7,81.8,0.4,,,,,,,,,,,,,,,,,,,,,,
Player,pt-036,Anthony Edwards,,,,,,,,,min,,Shooting Guard,22,79,35.1,25.9,5.4,5.1,1.3,0.5,46.1,35.7,83.6,7.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-037,Karl-Anthony Towns,,,,,,,,,min,,Center,28,62,32.8,21.8,8.3,3.0,0.7,0.7,50.4,41.6,87.3,5.4,,,,,,,,,,,,,,,,,,,,,,
Player,pt-038,Rudy Gobert,,,,,,,,,min,,Center,31,76,30.0,14.0,12.9,1.3,0.7,2.1,66.1,0.0,66.9,8.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-039,Jaden McDaniels,,,,,,,,,min,,Small Forward,23,71,33.5,10.5,4.0,1.8,1.1,1.0,47.5,34.8,77.4,6.5,,,,,,,,,,,,,,,,,,,,,,
Player,pt-040,Mike Conley,,,,,,,,,min,,Point Guard,36,76,26.4,11.4,3.0,5.9,1.0,0.2,44.3,39.3,94.4,4.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-041,Naz Reid,,,,,,,,,min,,Center,24,81,22.8,13.5,5.2,1.4,0.5,0.8,50.8,39.5,78.6,3.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-042,Nickeil Alexander-Walker,,,,,,,,,min,,Shooting Guard,25,75,18.2,6.8,2.0,2.1,0.8,0.4,44.2,38.8,82.4,1.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-043,Kyle Anderson,,,,,,,,,min,,Small Forward,30,69,22.5,6.4,4.8,4.2,1.0,0.4,50.5,28.9,76.5,3.4,,,,,,,,,,,,,,,,,,,,,,
Player,pt-044,Jordan McLaughlin,,,,,,,,,min,,Point Guard,28,52,11.4,3.2,1.5,2.8,0.6,0.1,42.1,33.3,87.5,0.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-045,Troy Brown Jr.,,,,,,,,,min,,Small Forward,24,48,10.8,3.5,2.2,1.0,0.5,0.2,46.8,35.0,73.3,1.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-046,Luka Garza,,,,,,,,,min,,Center,25,35,8.5,4.2,2.8,0.6,0.2,0.4,58.3,40.0,72.7,0.5,,,,,,,,,,,,,,,,,,,,,,
Player,pt-047,Leonard Miller,,,,,,,,,min,,Small Forward,20,28,6.2,2.1,1.4,0.4,0.3,0.2,44.0,30.8,66.7,-0.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-048,Dalano Banton,,,,,,,,,bos,,Point Guard,24,20,5.8,1.8,0.9,0.6,0.2,0.1,38.5,28.6,66.7,-0.5,,,,,,,,,,,,,,,,,,,,,,
Player,pt-049,Svi Mykhailiuk,,,,,,,,,bos,,Shooting Guard,27,18,4.2,1.2,0.5,0.4,0.1,0.0,36.4,30.0,100.0,-1.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-050,Ousmane Dieng,,,,,,,,,okc,,Small Forward,21,42,8.2,2.5,1.4,0.6,0.3,0.2,38.9,29.4,70.0,-0.4,,,,,,,,,,,,,,,,,,,,,,
Player,pt-051,Vlatko Cancar,,,,,,,,,den,,Small Forward,26,22,6.2,1.5,1.0,0.4,0.1,0.1,38.5,31.3,75.0,-0.6,,,,,,,,,,,,,,,,,,,,,,
Game,g-001,,,,,,,,,,,bos,,,,,,,,,,,,,2024-04-14,Heat,Win,118,104,32|28|30|28,42,85,14,38,20,24,48,26,9,6,12,,,,,,
Game,g-002,,,,,,,,,,,bos,,,,,,,,,,,,,2024-04-12,Wizards,Win,132,122,35|32|33|32,48,92,18,42,18,22,45,32,7,4,14,,,,,,
Game,g-003,,,,,,,,,,,bos,,,,,,,,,,,,,2024-04-10,Bulls,Win,124,113,28|35|31|30,44,88,16,40,20,25,42,28,8,5,11,,,,,,
Game,g-004,,,,,,,,,,,bos,,,,,,,,,,,,,2024-04-07,Hornets,Win,118,104,30|32|28|28,43,86,15,38,17,20,46,25,10,7,10,,,,,,
Game,g-005,,,,,,,,,,,bos,,,,,,,,,,,,,2024-04-05,Pacers,Loss,111,117,25|28|30|28,40,90,13,42,18,23,40,22,5,3,15,,,,,,
Game,g-006,,,,,,,,,,,bos,,,,,,,,,,,,,2024-04-03,Raptors,Win,126,108,34|30|32|30,46,84,16,36,18,21,44,30,11,6,9,,,,,,
Game,g-007,,,,,,,,,,,bos,,,,,,,,,,,,,2024-03-31,Nets,Win,129,115,33|35|28|33,47,88,17,40,18,22,47,28,8,5,12,,,,,,
Game,g-008,,,,,,,,,,,bos,,,,,,,,,,,,,2024-03-29,Cavaliers,Win,120,109,28|32|30|30,43,85,14,38,20,24,43,26,7,6,11,,,,,,
Game,g-009,,,,,,,,,,,bos,,,,,,,,,,,,,2024-03-27,76ers,Win,117,107,30|28|32|27,42,86,15,40,18,22,41,24,9,4,13,,,,,,
Game,g-010,,,,,,,,,,,bos,,,,,,,,,,,,,2024-03-24,Knicks,Loss,108,115,26|28|26|28,38,88,12,40,20,25,38,20,6,3,16,,,,,,
Game,g-011,,,,,,,,,,,okc,,,,,,,,,,,,,2024-04-14,Mavericks,Win,135,127,38|32|35|30,50,92,17,40,18,22,44,32,10,5,11,,,,,,
Game,g-012,,,,,,,,,,,okc,,,,,,,,,,,,,2024-04-12,Spurs,Win,128,106,34|32|30|32,47,88,16,38,18,21,42,28,8,7,9,,,,,,
Game,g-013,,,,,,,,,,,okc,,,,,,,,,,,,,2024-04-10,Rockets,Win,118,110,28|30|32|28,43,85,14,36,18,24,40,24,9,4,12,,,,,,
Game,g-014,,,,,,,,,,,okc,,,,,,,,,,,,,2024-04-07,Grizzlies,Win,124,108,32|30|30|32,45,86,15,38,19,22,45,26,7,6,10,,,,,,
Game,g-015,,,,,,,,,,,okc,,,,,,,,,,,,,2024-04-05,Nuggets,Loss,106,112,24|28|26|28,38,88,12,40,18,23,38,20,5,3,15,,,,,,
Game,g-016,,,,,,,,,,,okc,,,,,,,,,,,,,2024-04-03,Suns,Win,122,115,30|32|28|32,44,84,16,36,18,21,43,28,8,5,11,,,,,,
Game,g-017,,,,,,,,,,,okc,,,,,,,,,,,,,2024-03-31,Lakers,Win,116,108,28|30|30|28,42,86,14,38,18,22,41,25,9,4,12,,,,,,
Game,g-018,,,,,,,,,,,okc,,,,,,,,,,,,,2024-03-29,Clippers,Win,120,112,30|28|32|30,43,85,15,40,19,24,42,27,7,5,10,,,,,,
Game,g-019,,,,,,,,,,,okc,,,,,,,,,,,,,2024-03-27,Warriors,Loss,108,118,26|26|28|28,39,90,12,42,18,22,36,22,6,3,14,,,,,,
Game,g-020,,,,,,,,,,,okc,,,,,,,,,,,,,2024-03-24,Timberwolves,Win,114,106,28|30|28|28,41,84,14,36,18,23,40,24,8,6,11,,,,,,
Game,g-021,,,,,,,,,,,den,,,,,,,,,,,,,2024-04-14,Jazz,Win,130,104,35|32|33|30,48,88,16,38,18,22,52,32,8,5,10,,,,,,
Game,g-022,,,,,,,,,,,den,,,,,,,,,,,,,2024-04-12,Suns,Win,118,114,28|30|32|28,43,85,14,40,18,24,46,28,7,4,12,,,,,,
Game,g-023,,,,,,,,,,,den,,,,,,,,,,,,,2024-04-10,Kings,Win,122,108,30|32|30|30,44,86,15,38,19,22,48,30,9,6,11,,,,,,
Game,g-024,,,,,,,,,,,den,,,,,,,,,,,,,2024-04-07,Lakers,Win,124,114,32|30|32|30,45,84,16,36,17,20,44,26,8,5,10,,,,,,
Game,g-025,,,,,,,,,,,den,,,,,,,,,,,,,2024-04-05,Warriors,Loss,110,116,26|28|28|28,40,90,12,42,18,23,40,22,5,3,14,,,,,,
Game,g-026,,,,,,,,,,,den,,,,,,,,,,,,,2024-04-03,Clippers,Win,120,108,30|30|30|30,43,85,14,38,20,24,45,28,7,4,11,,,,,,
Game,g-027,,,,,,,,,,,den,,,,,,,,,,,,,2024-03-31,Pelicans,Win,116,104,28|30|28|30,42,86,14,40,18,22,43,26,8,5,10,,,,,,
Game,g-028,,,,,,,,,,,den,,,,,,,,,,,,,2024-03-29,Timberwolves,Loss,106,115,24|26|28|28,38,88,12,40,18,23,38,20,6,4,15,,,,,,
Game,g-029,,,,,,,,,,,den,,,,,,,,,,,,,2024-03-27,Blazers,Win,128,112,34|32|30|32,46,84,16,36,18,20,47,30,9,6,9,,,,,,
Game,g-030,,,,,,,,,,,den,,,,,,,,,,,,,2024-03-24,Rockets,Win,118,102,28|30|32|28,42,85,14,38,20,25,44,28,8,5,11,,,,,,
Game,g-031,,,,,,,,,,,min,,,,,,,,,,,,,2024-04-14,Suns,Win,122,108,30|32|30|30,44,86,16,40,18,22,50,24,8,6,11,,,,,,
Game,g-032,,,,,,,,,,,min,,,,,,,,,,,,,2024-04-12,Kings,Win,116,110,28|30|28|30,42,84,14,38,18,21,48,26,7,5,12,,,,,,
Game,g-033,,,,,,,,,,,min,,,,,,,,,,,,,2024-04-10,Pelicans,Win,108,102,26|28|28|26,40,86,12,40,16,22,52,22,9,7,10,,,,,,
Game,g-034,,,,,,,,,,,min,,,,,,,,,,,,,2024-04-07,Clippers,Win,112,106,28|28|28|28,41,85,13,38,17,20,46,24,8,6,11,,,,,,
Game,g-035,,,,,,,,,,,min,,,,,,,,,,,,,2024-04-05,Lakers,Loss,104,110,24|26|28|26,38,88,11,42,17,22,44,20,5,4,14,,,,,,
Game,g-036,,,,,,,,,,,min,,,,,,,,,,,,,2024-04-03,Warriors,Win,110,104,28|28|26|28,40,84,14,38,16,20,48,22,7,5,10,,,,,,
Game,g-037,,,,,,,,,,,min,,,,,,,,,,,,,2024-03-31,Mavericks,Loss,106,118,24|26|28|28,38,90,12,44,18,24,42,20,6,3,15,,,,,,
Game,g-038,,,,,,,,,,,min,,,,,,,,,,,,,2024-03-29,Nuggets,Win,115,106,30|28|28|29,42,85,14,38,17,21,50,24,8,6,11,,,,,,
Game,g-039,,,,,,,,,,,min,,,,,,,,,,,,,2024-03-27,Spurs,Win,118,104,30|30|28|30,43,84,15,36,17,20,46,26,9,5,9,,,,,,
Game,g-040,,,,,,,,,,,min,,,,,,,,,,,,,2024-03-24,Thunder,Loss,106,114,26|26|28|26,39,88,12,42,17,22,44,22,5,4,13,,,,,,
SeasonAverages,avg-001,,,,,,,,,,,bos,,,,,,,,,,,,,,,,,,,,,,,,,,,122.4|118.6|115.2|124.8|120.3,119.8|121.2|118.4|122.6|117.9,118.2|122.5|119.8|121.4|120.6|118.9,124.2,117.1
SeasonAverages,avg-002,,,,,,,,,,,okc,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2|122.4|118.6|120.8|116.5,118.4|120.2|117.8|121.5|119.3,116.8|120.4|118.2|122.1|119.6|120.1,123.5,116.8
SeasonAverages,avg-003,,,,,,,,,,,den,,,,,,,,,,,,,,,,,,,,,,,,,,,118.6|116.2|114.8|119.4|117.2,116.8|118.4|115.2|117.8|114.6,114.2|118.6|116.4|115.8|117.2|115.8,120.4,111.3
SeasonAverages,avg-004,,,,,,,,,,,min,,,,,,,,,,,,,,,,,,,,,,,,,,,112.8|110.4|114.2|111.6|108.5,111.2|113.6|110.8|112.4|109.8,108.4|112.6|110.2|114.8|111.5|112.5,116.2,108.8
